TermAndYearTaken,Year,DRNO,TIMEOCC,LOCATION
Newton,THEFT PLAIN - PETTY ($950 & UNDER),141316931,1530,  400      E  WASHINGTON                   BL
Newton,BURGLARY FROM VEHICLE,141316933,900, 1000      E  43RD                         ST
Newton,BURGLARY FROM VEHICLE,141316935,1900, 3700         CRAWFORD                     ST
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141316939,2130,              46TH                         ST
Newton,BURGLARY FROM VEHICLE,141316946,1730,              46TH
Newton,VEHICLE - STOLEN,141316983,1600,              39TH                         ST
Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141421692,215,13600         MARINA POINTE                DR
Pacific,VIOLATION OF RESTRAINING ORDER,141421695,500,              CENTURY
Pacific,ROBBERY,141421697,430,              LINCOLN
Pacific,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141421704,1102,  200         OCEAN FRONT                  WK
Pacific,TRAFFIC DR #,141421705,1145,              LOYOLA                       BL
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),141421707,1200, 3000      S  SEPULVEDA                    BL
Pacific,TRAFFIC DR #,141421708,1100,              96TH
Pacific,TRAFFIC DR #,141421718,1425,              VICKSBURG                    AV
Pacific,BATTERY - SIMPLE ASSAULT,141421720,2100,12700         CASWELL                      AV
Pacific,ROBBERY,141421747,1645,              VENICE
Pacific,BATTERY - SIMPLE ASSAULT,141421748,1830,  300         OCEAN FRONT                  WK
Pacific,BATTERY - SIMPLE ASSAULT,141421749,1720,              BROADWAY
Pacific,DISTURBING THE PEACE,141421750,2030, 4100         GRAND VIEW                   BL
Pacific,SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,141421756,1345, 9500         ISIS                         AV
Pacific,CHILD NEGLECT (SEE 300 W.I.C.),141421757,1630, 9500         ISIS                         AV
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),141421760,1100, 3300      S  SEPULVEDA                    BL
Pacific,BURGLARY,141421778,1130,  700         BROOKS                       AV
Pacific,BURGLARY FROM VEHICLE,141421780,1500,              4TH                          ST
Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141421788,1500, 3900         BEETHOVEN                    ST
Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141421850,100,              WINDWARD
N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),141501041,1530, 6700         BELLINGHAM                   AV
N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),141501043,1630, 7400         CAMELLIA                     AV
N Hollywood,TRAFFIC DR #,141515992,10,              COLDWATER CA                 AV
N Hollywood,SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,141516002,815,11900         RUNNYMEDE                    ST
N Hollywood,BATTERY - SIMPLE ASSAULT,141516004,30,11100         VENTURA                      BL
N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),141516008,100,  600         UNIVERSAL HOLLYWOOD          DR
N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),141516009,1130,10900         VICTORY                      BL
N Hollywood,EXTORTION,141516011,1100, 6700         RHODES                       AV
N Hollywood,TRAFFIC DR #,141516016,1245,              LAUREL CANYON                BL
N Hollywood,TRAFFIC DR #,141516022,1635,              LAUREL CANYON                BL
N Hollywood,TRAFFIC DR #,141516025,1535,              RADFORD                      AV
N Hollywood,TRAFFIC DR #,141516026,1420,              COLDWATER CA                 AV
N Hollywood,TRAFFIC DR #,141516032,2330,              GOODLAND                     AV
N Hollywood,TRAFFIC DR #,141516033,2350,              RIVERSIDE                    DR
N Hollywood,TRAFFIC DR #,141516034,1910,              BURBANK                      BL
N Hollywood,VIOLATION OF RESTRAINING ORDER,141516036,1940, 4200         DENNY                        AV
N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),141516045,1630, 5400         CAHUENGA                     BL
N Hollywood,BURGLARY FROM VEHICLE,141516056,800, 7500         VANTAGE                      AV
N Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),141516057,2300,11100         VENTURA                      BL
N Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141516058,1930, 4700         RADFORD                      AV
N Hollywood,SHOPLIFTING - PETTY THEFT ($950 & UNDER),141516060,1910, 4700         LAUREL CANYON                BL
N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141516061,2200, 6700         LANKERSHIM                   BL
N Hollywood,BURGLARY FROM VEHICLE,141516066,1930,11600         ACAMA                        ST
N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141516069,100,11700         RUNNYMEDE                    ST
N Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141516078,1800,12700         CANTARA                      ST
N Hollywood,BURGLARY,141516087,2145,12500         VANOWEN                      ST
N Hollywood,BURGLARY FROM VEHICLE,141516090,2252,11600         KLING                        ST
Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141601305,1345,10700         SHERMAN GROVE                AV
Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141601306,930, 7400         APPERSON                     ST
Foothill,SHOPLIFTING - PETTY THEFT ($950 & UNDER),141601308,1900,10100         SAN FERNANDO                 RD
Foothill,VEHICLE - STOLEN,141612737,5, 7700         KRAFT                        AV
Foothill,"BUNCO, GRAND THEFT",141612752,1230, 7500         FOOTHILL                     BL
Foothill,TRAFFIC DR #,141612756,1500,              LAUREL CANYON
Foothill,TRAFFIC DR #,141612762,300,              WHITSETT                     AV
Foothill,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141612767,1430, 7400         APPERSON                     ST
Foothill,SHOPLIFTING - PETTY THEFT ($950 & UNDER),141612770,1600,10400         SUNLAND                      BL
Foothill,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141612775,1030,13000         MONTAGUE                     ST
Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141612777,1345,10700         SHERMAN GROVE                AV
Foothill,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141612789,2300,10600         SHERMAN GROVE                AV
Foothill,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141612793,300, 7700         VINELAND                     AV
Mission,TRAFFIC DR #,141612807,1630,              WOODMAN                      AV
Devonshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),141701009,1045,10200         BALBOA                       BL
Devonshire,TRAFFIC DR #,141714068,315,              MASON                        AV
Devonshire,CHILD NEGLECT (SEE 300 W.I.C.),141714077,115, 9100         BALBOA                       BL
Devonshire,TRAFFIC DR #,141714089,630,16900         TUPPER                       ST
Devonshire,TRAFFIC DR #,141714090,1120,              PARTHENIA                    ST
Devonshire,BATTERY - SIMPLE ASSAULT,141714096,1350, 8300         BALBOA                       BL
Devonshire,OTHER MISCELLANEOUS CRIME,141714099,810,              FARRALONE
Devonshire,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141714102,100,21100         PARTHENIA                    ST
Devonshire,TRAFFIC DR #,141714105,1535,              DEVONSHIRE                   AV
Devonshire,TRAFFIC DR #,141714107,1305,              HASKELL
Devonshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",141714108,2000,11600         BALBOA                       BL
Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),141714109,1900,19300         PLUMMER                      ST
Devonshire,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141714110,1800, 9000         WHITAKER                     AV
Devonshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141714111,1300,18000         RAYEN                        ST
Devonshire,TRESPASSING,141714112,1250, 9300         TAMPA                        AV
Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),141714114,100,10700         HAYVENHURST                  AV
Devonshire,TRAFFIC DR #,141714120,130,              SAN FERNANDO MISSION         BL
Devonshire,TRAFFIC DR #,141714122,1530,16900         DEVONSHIRE                   ST
Devonshire,TRAFFIC DR #,141714123,505,              TAMPA                        AV
Devonshire,VEHICLE - STOLEN,141714131,1500,10500         ANDORA                       AV
Devonshire,BURGLARY FROM VEHICLE,141714133,2030, 8300         HASKELL                      AV
Devonshire,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),141714144,2300, 9700         CACTUS                       AV
Devonshire,BATTERY - SIMPLE ASSAULT,141714146,115, 9100         BALBOA                       BL
Devonshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",141714165,2330,              LINDLEY                      AV
Southeast,BURGLARY,141801194,430, 1700      E  113TH
Southeast,TRAFFIC DR #,141815995,25,              111TH                        PL
Southeast,ATTEMPTED ROBBERY,141816000,500,              98TH                         ST
Southeast,ROBBERY,141816001,400,              88TH
Southeast,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,141816008,150,              114TH                        ST
Southeast,VEHICLE - STOLEN,141816009,1300,  600      E  116TH                        PL
Southeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,141816010,1400,  100      W  IMPERIAL                     HY
Southeast,THEFT PLAIN - PETTY ($950 & UNDER),141816011,700,10400      S  FIGUEROA
Southeast,VEHICLE - STOLEN,141816015,1545,              MAIE
Southeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,141816016,1730,10700         WEIGAND                      AV
Southeast,BATTERY - SIMPLE ASSAULT,141816017,1400,  300      E  99TH                         ST
Southeast,BURGLARY,141816018,1800,  300      E  112TH                        ST
Southeast,BATTERY - SIMPLE ASSAULT,141816019,945,  200      E  MANCHESTER                   AV
